PLUNo,Barcode,PLUName,UnitPrice,item_ClsCode,pkgUnitCd,qtyUnitCd,OrgnNatCd,BtchNo,TaxType,sftyQty,TypeCode,isrcAplcbYn,AddInfo,changeqty,Stocks,UseYorN
14,14,CAREX HW LIQ 250ML ALOE X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
15,15,CAREX HW LIQ 250ML ORIGINAL X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
16,16,CAREX HW LIQ 250ML SENSITIVE X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
17,17,CAREX HW LIQ 500ML ALOE X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
18,18,CAREX HW LIQ 500ML ORIGINAL X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
19,19,CAREX HW LIQ 500ML SENSITIVE X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
20,20,CB MG JELLY 100ML X36 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
21,21,CB MG JELLY 200ML+CBABY SOAP 100G X12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
22,22,CB MG JELLY 50ML X36 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
23,23,CB MG OIL 100MLX12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
24,24,CB MG OIL 50MLX24 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
25,25,CB MG POWDER 100G X12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
26,26,CB MG POWDER 50G X48 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
27,27,CB SOAP 100G CBMG X24 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
28,28,CB SOAP 100G CBSS X24 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
29,29,CB SOAP 100G FRESH & NOURISH X24 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
30,30,CB SOAP 100G PROTECT CARE X24 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
31,31,CB SS JELLY 200ML+CBABY SOAP 100G X12 TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
32,32,CB SS OIL 100MLX12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
33,33,CB SS OIL 50MLX24 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
34,34,CB SS POWDER 100G X12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
35,35,CB WIPES 30'S M&G X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
36,36,CB WIPES 30'S S&S X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
37,37,CBABY PWD 200G MILD AND GENTLE* 12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
38,38,CBABY PWD 200G SOFT AND SMOOTH *12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
39,39,CBMG GFT BOX + TEDDY BEAR 1x1,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
40,40,CBMG GFT LARGE BLUE BAG 1X1,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
41,41,CBMG GFT SMALL BLUE BAGX6,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
42,42,CBMG JEL 100ML *12*3,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
43,43,CBMG JEL 200ML +CBABY SOAP 100G*12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
44,44,CBMG JEL 50ML *12*3,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
45,45,CBMG OIL 200ML+CB SOAP 100G X12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
46,46,CBMG POWDER 200G X12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
47,47,CBMG PWD 100G*12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
48,48,CBMG PWD 50G*48,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
49,49,CBMG WPE 80'S X 24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
50,50,CBSS GFT BOX + TEDDY BEAR 1x1,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
51,51,CBSS GFT LARGE PINK BAG 1X1,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
52,52,CBSS GFT SMALL PINK BAGX6,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
53,53,CBSS JEL 100ML *12*3,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
54,54,CBSS JEL 200ML+CBABY SOAP 100G*12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
55,55,CBSS JEL 50ML *12*3,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
56,56,CBSS JELLY 100ML X36 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
57,57,CBSS JELLY 50ML X36 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
58,58,CBSS OIL 200MLX12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
59,59,CBSS POWDER 200G X12 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
60,60,CBSS POWDER 50G X48 - TME,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
61,61,CBSS PWD 100GX12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
62,62,CBSS PWD 50G*48,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
63,63,CBSS WPE 80's X 24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
64,64,CHOCOLATE SAUCE 10*650gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
65,65,CUSSONS BABY MG OIL 100ML* 12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
66,66,CUSSONS BABY MG OIL 200ML* 12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
67,67,CUSSONS BABY MG OIL 50ML*24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
68,68,CUSSONS BABY SS OIL 100ML* 12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
69,69,CUSSONS BABY SS OIL 200ML* 12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
70,70,CUSSONS BABY SS OIL 50ML*24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
71,71,D/L chocolate Almond & raising 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
72,72,D/L chocolate Almond & raising 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
73,73,D/L chocolate dark milk 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
74,74,D/L chocolate dark milk 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
75,75,D/L chocolate hazelnut 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
76,76,D/L chocolate milk w/cookies 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
77,77,D/L chocolate milk w/cookies 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
78,78,D/L chocolate mint crunch 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
79,79,D/L chocolate orange crunch 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
80,80,D/L chocolate orange crunch 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
81,81,D/L chocolate real milk 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
82,82,D/L chocolate real milk 24*20g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
83,83,D/L chocolate real milk 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
84,84,D/L chocolate real white 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
85,85,D/L chocolate real white 24*20g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
86,86,D/L chocolate real white 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
87,87,D/L chocolate salted caramel 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
88,88,D/L chocolate salted caramel 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
89,89,D/L chocolate white w/cookies 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
90,90,D/L chocolate white w/cookies 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
91,91,D/L filled chocolate berry bliss 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
92,92,D/L filled chocolate berry bliss 24*37g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
93,93,D/L filled chocolate double choc 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
94,94,D/L filled chocolate double choc 24*37g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
95,95,D/L filled chocolate mint choc 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
96,96,D/L filled chocolate mint choc 24*37g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
97,97,D/Land Chocolate Hazelnut 24*40g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
98,98,D/Land Dip-a-snack 12*56gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
99,99,D/Land classic chocolate spread 12*275gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
100,100,D/Land classic chocolate spread 6*650gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
101,101,D/Land duo chocolate spread 12*275gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
102,102,D/Land hazelnut chocolate spread 12*275gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
103,103,D/land Chocolate Mint Crunch 12*80g,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
104,104,D/land Drinking Chocolate 12*225gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
105,105,D/land Drinking Chocolate 48*100gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
106,106,D/land Drinking choc sachets 48*50gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
107,107,D/land drinking choc Jar 24*125gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
108,108,D/land drinking choc Sachet 120*15gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
109,109,D/land drinking choc jar 6 * 450gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
110,110,DARK COMPOUND CHOCOLATE 20*500gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
111,111,DARK COMPOUND CHOCOLATE 4*2.5Kgs,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
112,112,Eledent Briten Shiny 75g x 144,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
113,113,Eledent T/Paste CoolMinty 150g x 72,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
114,114,Ezee All Purpose Washing Liquid 1 Ltr,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
115,115,Ezee All Purpose Washing Liquid 500gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
116,116,Ezee Bleach Regular 1L,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
117,117,Ezee Bleach Regular 250ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
118,118,Ezee Bleach Regular 500ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
119,119,Ezee Bleach Regular 70ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
120,120,Ezee Dish Washing Gel S/Lemon 800ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
121,121,JACKDANIELS 1LTR,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,1000,02Finished Product,0,,0,1999998,1
122,122,BEDSHEET EXPRESS,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,1000,02Finished Product,0,,0,1999998,1
123,123,SHIRT PICKUP & DELIVERY,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,1000,02Finished Product,0,,0,1999998,1
124,124,Ezee Dish Washing Paste S/Lemon 250Grams,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
125,125,Ezee Dish Washing Paste S/Lemon 400Grams,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
126,126,Ezee Dish Washing Paste S/Lemon 800Grams,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
127,127,Ezee Dish Washing Paste S/Lime 250Grams,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
128,128,Ezee Dish Washing Paste S/Lime 400Grams,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
129,129,Ezee Dish Washing Paste S/Lime 800Grams,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
130,130,Ezee Liquid Bleach Colours 1 Ltr,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
131,131,Ezee Liquid Bleach Colours 500ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
132,132,Ezee Multi Surface Cleaner 300ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
133,133,Ezee Scouring Powder 1 Kg,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
134,134,Ezee Scouring Powder 500gms,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
135,135,Ezee Toilet Cleaner Lemon Power 1L,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
136,136,Ezee Toilet Cleaner Lemon Power 250ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
137,137,Ezee Toilet Cleaner Lemon Power 500ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
138,138,Ezee Toilet Cleaner Ocean Power 1L,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
139,139,Ezee Toilet Cleaner Ocean Power 250ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
140,140,Ezee Toilet Cleaner Ocean Power 500ml,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
141,141,Ezee Wood Polish,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
142,142,FLAM HW LIQ 400ML ALOE VERA X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
143,143,FLAM HW LIQ 400ML COCONUT MILK X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
144,144,FLAM HW LIQ 400ML LEMON X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
145,145,FLAM HW LIQ 400ML OCEAN FRESH X12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
146,146,FLAM HW LIQ 400ML ROSE x12,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
147,147,FLAM SOAP 200G ALOE VEAR & HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
148,148,FLAM SOAP 200G BLACK X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
149,149,FLAM SOAP 200G COCONUT MILK & HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
150,150,FLAM SOAP 200G LEMON & HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
151,151,FLAM SOAP 200G MARULA OIL X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
152,152,FLAM SOAP 200G ROSE & HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
153,153,FLAM SOAP 90G BLACK & HONEY SINGLES,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
154,154,FLAM SOAP 90G C. MILK & HONEY SINGLE X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
155,155,FLAM SOAP 90G LEMON & HONEY SINGLE X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
156,156,FLAM SOAP 90G MARULA & HONEY SINGLES,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
157,157,FLAM SOAP 90G X 3 ALOE VERA&HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
158,158,FLAM SOAP 90G X 3 BLACK X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
159,159,FLAM SOAP 90G X 3 COCONUT MILK&HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
160,160,FLAM SOAP 90G X 3 LEMON&HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
161,161,FLAM SOAP 90G X 3 MARULA OIL X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
162,162,FLAM SOAP 90G X 3 ROSE&HONEY X24,1,99010000,BG-Bag,U-Pieces/item [Number],KE-KENYA,,B-16.00%,10,02Finished Product,0,,0,999999,1
